Index Annotation Celltype Tissue Type Category
211 HMVEC_dLyAd-DS13261.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dLy-Ad blood_vessel peaks Peaks
212 HMVEC_dLyNeo-DS13150.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dLy-Neo blood_vessel peaks Peaks
213 HMVEC_dNeo-DS12937.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-dNeo blood_vessel peaks Peaks
214 HMVEC_LBl-DS13372.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-LBl blood_vessel peaks Peaks
215 HMVEC_LLy-DS13185.hotspot.twopass.fdr0.01.merge.pks.bed HMVEC-LLy blood_vessel peaks Peaks
216 HNPCEpiC-DS12467.hotspot.twopass.fdr0.01.merge.pks.bed HNPCEpiC epithelium peaks Peaks
217 HPAEC-DS12916.hg19.hotspot.twopass.fdr0.01.merge.pks.bed HPAEC blood_vessel peaks Peaks
218 HPAF-DS13411.hotspot.twopass.fdr0.01.merge.pks.bed HPAF blood_vessel peaks Peaks
219 HPdLF-DS13573.hotspot.twopass.fdr0.01.merge.pks.bed HPdLF epithelium peaks Peaks
220 HPF-DS13390.hotspot.twopass.fdr0.01.merge.pks.bed HPF lung peaks Peaks
221 HRCE-DS10666.hotspot.twopass.fdr0.01.merge.pks.bed HRCEpiC epithelium peaks Peaks
222 HRE-DS10641.hotspot.twopass.fdr0.01.merge.pks.bed HRE epithelium peaks Peaks
223 HRGEC-DS13716.hotspot.twopass.fdr0.01.merge.pks.bed HRGEC kidney peaks Peaks
224 HRPEpiC-DS12583.hotspot.twopass.fdr0.01.merge.pks.bed HRPEpiC epithelium peaks Peaks
225 HSMM-all.fdr0.01.bed HSMM muscle peaks Peaks
226 HSMM_D-all.fdr0.01.bed HSMM muscle peaks Peaks
227 hTH1-all.fdr0.01.bed Th1 blood peaks Peaks
228 hTH2-DS7842.hotspot.twopass.fdr0.01.merge.pks.bed Th2 blood peaks Peaks
229 HUVEC-all.fdr0.01.bed HUVEC blood_vessel peaks Peaks
230 HVMF-DS13981.hotspot.twopass.fdr0.01.merge.pks.bed HVMF connective peaks Peaks
231 Ishikawa_E_AllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Ishikawa uterus peaks Peaks
232 Ishikawa_T_AllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Ishikawa uterus peaks Peaks
233 Jurkat-DS12659.hotspot.twopass.fdr0.01.merge.pks.bed Jurkat blood peaks Peaks
234 K562-all.fdr0.01.bed K562 blood peaks Peaks
235 LNCap-all.fdr0.01.bed LNCaP prostate peaks Peaks
236 MCF7-all.fdr0.01.bed MCF-7 breast peaks Peaks
237 multi-tissue.master.ntypes.simple.hg19.bed All multi-tissue peaks Peaks
238 NB4-DS12543.hotspot.twopass.fdr0.01.merge.pks.bed NB4 blood peaks Peaks
239 NHA-DS12800.hotspot.twopass.fdr0.01.merge.pks.bed NH-A nervous peaks Peaks
240 NHDF_Ad-DS12863.hotspot.twopass.fdr0.01.merge.pks.bed NHDF-Ad skin peaks Peaks
241 NHDF_Neo-DS11923.hotspot.twopass.fdr0.01.merge.pks.bed NHDF-neo skin peaks Peaks
242 NHEK-all.fdr0.01.bed NHEK skin peaks Peaks
243 NHLF-DS12829.hotspot.twopass.fdr0.01.merge.pks.bed NHLF lung peaks Peaks
244 NT2_D1-DS14575.hg19.hotspot.twopass.fdr0.01.merge.pks.bed NT2-D1 testis peaks Peaks
245 PANC1-DS9955.hotspot.twopass.fdr0.01.merge.pks.bed PANC-1 pancreas peaks Peaks
246 PrEC-DS12098.hg19.hotspot.twopass.fdr0.01.merge.pks.bed PrEC prostate peaks Peaks
247 RPTEC-DS14061.hotspot.twopass.fdr0.01.merge.pks.bed RPTEC epithelium peaks Peaks
248 RWPE_AllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed RWPE1 prostate peaks Peaks
249 SAEC-DS10518.hotspot.twopass.fdr0.01.merge.pks.bed SAEC epithelium peaks Peaks
250 SkMC-DS11949.hotspot.twopass.fdr0.01.merge.pks.bed SKMC muscle peaks Peaks
251 SK_N_MC-DS14408.hotspot.twopass.fdr0.01.merge.pks.bed SK-N-MC brain peaks Peaks
252 SKNSH-DS8482.hotspot.twopass.fdr0.01.merge.pks.bed SK-N-SH brain peaks Peaks
253 WERI_Rb1-DS13681.hotspot.twopass.fdr0.01.merge.pks.bed WERI-Rb-1 eye peaks Peaks
254 wgEncodeOpenChromDnase8988tAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed 8988T liver peaks Peaks
255 wgEncodeOpenChromDnaseAosmcSerumfreeAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed AoSMC blood_vessel peaks Peaks
256 wgEncodeOpenChromDnaseChorionAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Chorion fetal_membrane peaks Peaks
257 wgEncodeOpenChromDnaseCllAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed CLL blood peaks Peaks
258 wgEncodeOpenChromDnaseFibroblAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Fibrobl skin peaks Peaks
259 wgEncodeOpenChromDnaseFibropAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed FibroP skin peaks Peaks
260 wgEncodeOpenChromDnaseGlioblaAlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Gliobla brain peaks Peaks
261 wgEncodeOpenChromDnaseGm12891AlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed GM12891 blood peaks Peaks
262 wgEncodeOpenChromDnaseGm12892AlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed GM12892 blood peaks Peaks
263 wgEncodeOpenChromDnaseGm18507AlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed GM18507 blood peaks Peaks
264 wgEncodeOpenChromDnaseGm19238AlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed GM19238 blood peaks Peaks
265 wgEncodeOpenChromDnaseGm19239AlnAllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed GM19239 blood peaks Peaks
